Substrate,Products,Kinetic Law,Modifiers,Parameters
,RelAnp50n,Constant Exp,,k1_RelAnp50nexp
,cRelnp50n,Constant Exp,,k1_cRelnp50nexp
,RelBnp52n,Constant Exp,,k1_RelBnp52nexp
,Mcl1,Constant Exp,,k1_Mcl1exp
,Bcl2,Constant Exp,,k1_Bcl2exp
,BclxL,Constant Exp,,k1_BclxLexp
,Mcl1,Expression With Modifier,RelAnp50n,k1_Mcl1RelAnp50n k2_kdMcl1RelAnp50n
,Mcl1,Expression With Modifier,cRelnp50n,k1_Mcl1cRelnp50n k2_kdMcl1cRelnp50n
,Mcl1,Expression With Modifier,RelBnp52n,k1_Mcl1RelBnp52n k2_kdMcl1RelBnp52n
,Bcl2,Expression With Modifier,RelAnp50n,k1_Bcl2RelAnp50n k2_kdBcl2RelAnp50n
,Bcl2,Expression With Modifier,cRelnp50n,k1_Bcl2cRelnp50n k2_kdBcl2cRelnp50n
,Bcl2,Expression With Modifier,RelBnp52n,k1_Bcl2RelBnp52n k2_kdBcl2RelBnp52n
,BclxL,Expression With Modifier,RelAnp50n,k1_BclxLRelAnp50n k2_kdBclxLRelAnp50n
,BclxL,Expression With Modifier,cRelnp50n,k1_BclxLcRelnp50n k2_kdBclxLcRelnp50n
,BclxL,Expression With Modifier,RelBnp52n,k1_BclxLRelBnp52n k2_kdBclxLRelBnp52n
RelAnp50n,,Mass Action with substrate,,k1_RelAnp50ndeg
cRelnp50n,,Mass Action with substrate,,k1_cRelnp50ndeg
RelBnp52n,,Mass Action with substrate,,k1_RelBnp52ndeg
Mcl1,,Mass Action with substrate,,k1_Mcl1deg
Bcl2,,Mass Action with substrate,,k1_Bcl2deg
BclxL,,Mass Action with substrate,,k1_BclxLdeg
